rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,stream_width_ratio,culvert_length_score,embed_score,outlet_drop_score,culvert_slope_score,stream_width_ratio_score,final_score,barrier_result,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id,gps_id,gps_waypoint_id,mot_culvert_id,utm_corrected,condition,erosion,embankment_issues,blockage_issues,condition_rank,likelihood_flood_event_affecting_culvert,consequence_flood_event_affecting_culvert,climate_change_flood_risk,vulnerability_rank,traffic_volume,community_access,cost,constructability,fish_bearing,environmental_impacts,priority_rank,overall_rank,mergin_user,photo_road,photo_upstream,photo_inlet,photo_downstream,photo_outlet,photo_barrel,photo_condition,photo_embankment,photo_blockage,photo_extra1,photo_extra2,photo_extra1_tag,photo_extra2_tag,condition_notes,climate_notes,priority_notes,surveyor_1,surveyor_2,surveyor_3,gps_waypoint_number,habitat_comment,erosion_issues,embankment_fill_issues,photo_embankment_fill
NA,2022-09-09T07:00:00Z,NA,8300917,MateoW,9,563869.1708949264,6109781.034396092,Trib to Kitwanga River,Moore Road,NA,NA,CBS,ROUND,1.6,7.5,Yes,0.38,Yes,NA,NA,0.7,0.1,0.2,NA,1.5,2.1,1,NA,Yes,Deep Fill,HIGH,NA,0,0,0,0,0,NA,NA,NA,NA,"Two culverts, both embedded with no drop. Fish spotted in culvert(up to 20 cm in length) and downstream. ",NA,NA,NA,2022-09-09T18:13:33Z,MateoW,NA,MateoW,NA,62659898,NA,NA,NA,NA,1,3,2,2,4,7,5,9,8,8,10,7,47,54,MateoW,photos/TimePhoto_20220909_105218.jpg,photos/TimePhoto_20220909_105428.jpg,photos/TimePhoto_20220909_111017.jpg,photos/TimePhoto_20220909_110448.jpg,photos/TimePhoto_20220909_110245.jpg,photos/TimePhoto_20220909_105442.jpg,NA,NA,NA,photos/TimePhoto_20220909_105744.jpg,NA,Erosion near outlet on road.,NA,Some bad erosion near outlet. ,NA,NA,MateoW,NA,NA,87,High value habitat with lots of cover and fines and gravels that could be suitable for spawning.,3,2,NA
NA,2022-09-09T07:00:00Z,8300090,NA,jesse olson,9,558928.2651477936,6126835.770483686,Trib to kitwanga river,Highway 37,NA,Moti,CBS,ROUND,3.8,25,Yes,2.16,Yes,NA,NA,0.23,0,0,NA,2,2.6,2,Yes,NA,Deep Fill,HIGH,NA,0,0,0,0,0,NA,NA,NA,NA,Culvert embedded resembles stream. Utm corrected 100m down road.,NA,NA,NA,2022-09-09T19:25:34Z,jesse olson,NA,jesse olson,NA,60709505,Yes,NA,NA,NA,1,2,1,2,2,4,5,3,5,4,10,5,32,36,jesse olson,20220909_125645.jpg,20220909_125723.jpg,20220909_125731.jpg,20220909_125739.jpg,20220909_125735.jpg,20220909_125656.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jo,NA,NA,NA,Beaver activity downstream,1,1,NA
NA,2022-09-09T07:00:00Z,8301994,NA,jesse olson,9,550299.9776666177,6140708.121854228,NA,NA,NA,NA,CBS,ROUND,0.85,10,NA,NA,NA,No,NA,0.45,0.24,0.22,NA,22.3,2.3,1,NA,NA,Deep Fill,HIGH,NA,0,0,0,0,0,NA,NA,NA,NA,2 culverts side by side,NA,NA,NA,2022-09-09T21:23:18Z,jesse olson,NA,jesse olson,NA,NA,NA,NA,NA,NA,1,2,1,3,3,5,1,10,2,10,10,9,42,47,jesse olson,20220909_145528.jpg,20220909_145612.jpg,20220909_145620.jpg,20220909_145628.jpg,20220909_145624.jpg,20220909_145535.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heavy beaver activity in surrounding area,jo,NA,NA,NA,Lots of beaver activity in area,1,1,NA
NA,2022-08-31T20:32:43Z,123393,NA,MateoW,9,638515.9573368968,6054721.900802599,Lemieux creek,Highway 16,NA,NA,CBS,ROUND,1.3,21.2,NA,NA,NA,Yes,90,1.5,0,0.4,NA,1,NA,NA,NA,NA,DF,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very deep outlet pool. Almost fully backwatered, a little bit of flow through the culvert. But the crossing is passable.",NA,NA,NA,2022-08-31T20:32:43Z,MateoW,NA,MateoW,50,62666050,NA,2,2,1,1,2,2,2,4,6,10,4,2,3,10,3,32,38,MateoW,photos/TimePhoto_20220831_134647.jpg,photos/TimePhoto_20220831_133742.jpg,photos/TimePhoto_20220831_133228.jpg,photos/TimePhoto_20220831_133957.jpg,photos/TimePhoto_20220831_134001.jpg,photos/TimePhoto_20220831_133214.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-09-05T07:00:00Z,NA,8302421,newgraph_airvine,9,567222.2253323515,6154119.937283166,Tributary to Kispiox River,Helen 9000,NA,NA,CBS,ROUND,1,10,NA,NA,NA,Yes,100,0.5,0,1,NA,0,15,0,Yes,NA,DF,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, No structure visible. Beaver Ponds on both sides of the road. Diameter estimated. Large mature Beaverdam located approximately 10 m downstream of road.          ,NA,NA,NA,2022-09-05T18:02:23Z,newgraph_airvine,NA,newgraph_airvine,NA,NA,NA,NA,NA,NA,3,NA,4,1,4,NA,1,10,1,1,5,10,28,NA,newgraph_airvine,20220905_110650.jpg,20220905_110657.jpg,20220905_110707.jpg,20220905_110716.jpg,20220905_110710.jpg,20220905_110653.jpg,NA,NA,NA,NA,NA,NA,NA, Guessing that this covert is completely blocked by fever.          ,NA,NA,newgraph_airvine,NA,NA,39, No fish information available for the stream however downstream there is FISS points with Eco Cat  report links that can be looked at,0,0,NA
NA,2022-09-05T07:00:00Z,NA,2022090501,newgraph_airvine,9,573065.7422437755,6152232.084042167,Tributary to Kispiox River ,Poplar Park Rd,NA,MoTi,CBS,ROUND,NA,14.5,NA,NA,NA,Yes,50,1.5,0,0.03,Yes,1,2.2,1,Yes,NA,DF,HIGH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pence Lake is located approximately 50 m upstream. Inlet of culvert is significantly damaged with metal that in words. Culvert is separating approximately halfway through the pipe – see photo. Pipe is quite corroded. Pence Lake rec site is located approximately 2 to 300 m up the road.,NA,NA,NA,2022-09-05T22:47:49Z,newgraph_airvine,NA,newgraph_airvine,NA,62798181,NA,NA,NA,NA,2,NA,1,3,3,NA,1,1,10,10,0,10,32,NA,newgraph_airvine,20220905_160257.jpg,20220905_160308.jpg,20220905_160318.jpg,NA,20220905_160324.jpg,20220905_160304.jpg,20220905_160329.jpg,NA,NA,20220905_160338.jpg,NA,Culvert separated ,NA,NA,NA,NA,newgraph_airvine,NA,NA,043, Provincial records show CO and CT observed in the lake. This is the main flow that drains the lake. There are two other culverts further to the south that appear to be connected to the same wetland complex potentially however this appears to be the connection to the Kispiox River.  Fry observed down stream. There is a large Inlet drop that would prevent fry migration upstream through the pipe.  Pipe is likely damaged from dredging culvert maintenance with machine. Evidence of dredging downstream as well.                ,1,1,NA
NA,2022-09-08T07:00:00Z,NA,8300033,newgraph_airvine,9,579936.8211331607,6144036.623709872,Tributary to Kispiox River,Seventeen Mile Road in,NA,MoTI,CBS,ROUND,0.8,13,NA,NA,NA,Yes,100,0.3,0,1,NA,0.5,2.5,0,NA,NA,Deeef Fil,MEDIUM,NA,0,0,0,0,0,NA,NA,NA,NA, Wetland a Upstream. Debris cone on inlet has separated from the culvert. Large inlet drop due to the debris caught in the inlet.,NA,NA,NA,2022-09-09T00:15:52Z,newgraph_airvine,NA,newgraph_airvine,NA,6279335,NA,NA,NA,NA,2,3,2,3,6,9,2,8,9,8,0,8,35,44,newgraph_airvine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Debris catcher on the inlet is separating from the pipe and is jammed up with debris. Plastic pipe appears recently installed.          ,Only access road to several residences. Very little amount of Phil indicates that with high volume of precipitation the road would wash out.          ,No fisheries information available. Very close to the Kispiox mainstem though. Potential Crossing is located down stream on private land and could not be accessed.          ,newgraph_airvine,NA,NA,62,Likely a Coho rearing area although difficult to tell if it is deep enough and if there is enough area to support. No fish information available for the stream.          ,1,1,NA
NA,2022-08-26T07:00:00Z,NA,2022082701,newgraph_airvine,9,975957.2151808552,5998754.633340373,Kenneth Creek,Highway 5,NA,MoTi,CBS,OVAL,6,36,NA,NA,NA,NA,NA,1.5,0.45,3,NA,1,15,0.5,NA,NA,DF,HIGH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, Dead Chinook observed upstream of the crossing. Extremely high value spawning habitat located upstream. Massive outlet pool indicating culvert is enormously undersized. Posted sign down stream of the Highway indicating that this is a salmon spawning location.,NA,NA,NA,2000-02-01T08:00:00Z,newgraph_airvine,NA,newgraph_airvine,15,NA,NA,1,5,1,1,2,5,3,15,17,10,1,8,8,10,10,47,64,newgraph_airvine,20220827_133225.jpg,20220827_133247.jpg,20220827_133252.jpg,20220827_133303.jpg,20220827_133257.jpg,20220827_133231.jpg,NA,NA,NA,20220827_133328.jpg,20220827_133418.jpg,Chinook upstream,Massive outlet pool,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-08-27T07:00:00Z,197974,NA,newgraph_airvine,9,680375.4640705682,6040070.735268857,Watson Creek,Highway 16,NA,Moti ,CBS,ROUND,0.9,25.5,NA,NA,NA,NA,NA,3,1,1.2,NA,3.5,NA,NA,NA,NA,DF,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, Deep and large outlet pool indicate culvert is significantly undersized. Condition of the pipe is poor with corrosion and some collapsing in the middle of the pipe. 0.6 m diameter overflow pipe located adjacent to the main culvert. Some decent gravels downstream.,NA,NA,NA,2000-02-01T08:00:00Z,newgraph_airvine,NA,newgraph_airvine,19,62816250,NA,5,5,3,1,4,4,5,20,24,10,10,1,1,10,8,40,64,newgraph_airvine,20220828_161037.jpg,20220828_161048.jpg,20220828_161052.jpg,20220828_161133.jpg,20220828_161056.jpg,20220828_161041.jpg,NA,20220828_161209.jpg,NA,NA,NA,NA,NA,Covert is collapsing in the middle and is extensively eroded. Top and of the pipe is elevated from the stream bed at the Inlet. I          , Need to look at the watershed size but the size of the outlet pool and depth outlet pool indicates that there is major flow that comes through here that is not well-accommodated by the zero. 9 m pipe along with the zero. 6 m overflow which is adjacent to it,Although an extremely expensive fix this covert looks to be a threat and closer investigation is warranted.          ,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-08-29T17:36:08Z,NA,NA,tieasha.pierre,9,665520.5308665597,6044200.519011185,Perow creek,Perow loop road ,NA,NA,CBS,ROUND,2.3,28,NA,NA,NA,NA,NA,0.5,0.23,NA,NA,1.5,4.3,12,NA,NA,DF,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-29T17:36:08Z,tieasha.pierre,NA,MW,44 ,62793459,NA,2,1,2,1,3,1,1,1,4,4,5,2,3,5,8,27,31,tieasha.pierre,20220829_115824.jpg,20220829_110303.jpg,20220829_110308.jpg,20220829_110324.jpg,20220829_110319.jpg,20220829_110257.jpg,NA,20220829_115127.jpg,NA,20220829_115116.jpg,20220829_115120.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-08-30T17:25:28Z,195943,NA,newgraph_airvine AN DN,9,645436.9446043576,6035044.608072455,Stock Creek,Barrett Station Road,NA,NA,CBS,OVAL,2,14.5,NA,NA,NA,NA,NA,0.6,1.1,0.71,NA,1.5,NA,NA,NA,Yes,DF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very large outlet job. Low traffic road.          ,NA,NA,NA,2022-08-30T17:25:28Z,newgraph_airvine,NA,newgraph_airvine,24,62767828,NA,2,3,2,1,3,2,2,4,7,2,2,6,7,10,8,35,42,newgraph_airvine,20220830_103843.jpg,20220830_110741.jpg,20220830_110748.jpg,20220830_110828.jpg,20220830_110752.jpg,20220830_110738.jpg,NA,20220830_110911.jpg,NA,NA,NA,NA,NA,Do you know what to say extensive erosion on the right bank downstream side. Very large outlet drop and deep outlet pool indicates covert is undersized. Not a lot of corrosion on the pipe. Pipe shape is good. It’s not deformed.          ,Only really one house visible downstream of the crossing. Road appears to be low traffic volume. Agricultural fields and minimal housing downstream.          , Appears as though Hagaman Road could be used as alternative access to the community. Paved road.          ,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-08-30T21:37:08Z,195944,NA,newgraph_airvine,9,646015.1912099432,6035569.645860049,Stock Creek,Highway 16,NA,MoTi,CBS,ROUND,1.8,99,NA,NA,NA,NA,NA,9.99,1.5,0.25,NA,3.5,NA,NA,NA,NA,DF,MEDIUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, Length 167 m. Filled out estimated at approximately 35 m..          ,NA,NA,NA,2022-08-30T21:37:08Z,newgraph_airvine,NA,newgraph_airvine,27,62840862,NA,1,1,1,1,2,1,5,5,7,10,5,5,5,10,1,36,43,newgraph_airvine,20220830_150336.jpg,20220830_150524.jpg,20220830_150527.jpg,NA,NA,20220830_150436.jpg,NA,NA,NA,NA,NA,NA,NA, Crews split up with one crew on the downstream side and one crew on the upstream side. This is the upstream side and condition from this side appears good. No evidence of deformity and corrosion is minimal.          ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-08-30T17:26:41Z,195943,NA,MateoW,9,645441.1198247273,6035038.07027543,Stock Creek,Barrett Station Road,NA,NA,CBS,OVAL,2.1,14.5,NA,NA,NA,NA,NA,0.5,1.1,0.71,NA,1.5,4,3,NA,Yes,DF,MEDIUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Large outlet drop but no inlet drop. Outlet pool is deep and fish were observed in it. Stream dries up when you go further downstream.,NA,NA,NA,2022-08-30T17:26:41Z,MateoW,NA,MateoW,46,62767828,NA,2,3,2,1,3,2,1,2,5,2,5,6,7,10,8,38,43,MateoW,photos/TimePhoto_20220830_104923.jpg,photos/TimePhoto_20220830_103109.jpg,photos/TimePhoto_20220830_103035.jpg,photos/TimePhoto_20220830_103820.jpg,photos/TimePhoto_20220830_102029.jpg,photos/TimePhoto_20220830_102019.jpg,NA,photos/TimePhoto_20220830_105301.jpg,NA,photos/TimePhoto_20220830_104523.jpg,NA,Less flow >50m downstream,NA,Extensive erosion on right bank on downstream side near the outlet. Big outlet pool.,"Only one property downstream of crossing, road is low traffic. Minimal housing around.",Paved road. Alternate road nearby can be used for a detour so impact on traffic isn't high.,NA,NA,NA,NA,NA,NA,NA,NA
