rowid,reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments,survey_date,time,comments_2
12,,Sandstone Creek,8530_ds_ef2,MateoW,,,,3.4,3.8,3.8,,,,,,,3.2,3.6,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,moderate,,,,,,,,,moderate,sub-dominant,trace,dominant,trace,trace,sub-dominant,none,21-40%,none,not applicable,none,V-shaped,fines,,coniferous forest,mature forest,sloping,gravels,,mixed forest,mature forest,cobbles,boulders,,,FALSE,,,,,,,,9,582693.266578533,6073705.33876947,,Bedrock pools at top end of site. Cascade and riffle pools with lots of cover.,2022-09-12,13:58:20,
13,,Sandstone Creek,8530_ds_ef3,MateoW,,,,2.9,6.3,,,,,,,,2.6,5.7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,moderate,,,,,,,,,moderate,sub-dominant,trace,dominant,trace,trace,sub-dominant,none,1-20%,none,not applicable,none,V-shaped,cobbles,,shrubs,shrub,sloping,gravels,,coniferous forest,mature forest,cobbles,gravels,,,FALSE,straight,Decoupled,confined,,,,,9,582692.792427481,6073724.76479641,,"Mostly riffles, steep section. Some deep pools at top end of site where the channel is much wider. Mostly cobbles with some gravels and boulders.",2022-09-12,14:39:58,
14,,Perow Creek,197653_us2,,,,4.1,5.6,4.4,4.5,5.4,4.4,,,,1.8,2.8,3.3,2.1,2.6,1.8,,,,0.6,0.6,,,,,,,,0.63,0.44,0.57,,,,3,2.5,5.5,,,,Low,,12.8,,230,,8.1,,Clear,Moderate,S,S,D,S,S,S,N,1-20%,Few,Even,Moss,UC,,,Mixed,Mature forest ,Vertical,Cobbles,,Mixed,Mature,Cobble,Gravel,,,,,,,,,,,9,665054.837964314,6045021.3106008,,,2022-08-29,12:50:07,
15,,Stock Creek,195943_us,,,,2.6,2.7,3.1,2.9,3.1,3,4.1,,,1.3,1.6,1.7,1.9,2,2.1,1.6,,,0.1,0.18,0.3,0.3,0.4,,,,,0.6,0.58,0.53,,,,2,2,1.5,3,,,,,,,,,,,Clear,,,,,,,,,,,,,,,,D,MF,,,,D,MF,cobble,boulder,,,,Sinous ,PC,OC,,,,,9,645436.6301261,6035069.1865291,, Medium value habitat. Good flow volume and decent amount of complexity due to boulders and undercut banks. Some small pockets of gravel suitable for resident rainbow spawning and potential coho.   Occasional shallow pools and traces of large water debris. Channel appears to be constricted due to agricultural development on both sides of the stream. Water withdrawal is occurring as well.  More agricultural development encroaching on the riparian farther upstream. Survey link 330 m ,2022-08-30,11:32:40,
16,,Stock Creek,195944_us,,,,4.6,4.5,4.1,3.1,5.1,3.8,,,,1.4,1.6,1.6,1.7,2.5,1.7,,,,0.09,0.42,0.23,0.34,0.5,,,,,0.4,0.5,0.43,,,,2,2,2,2,,,Low,,,,,,,,Clear,moderate,S,T,D,S,T,T, N,1-20%,few,Clumped,moss,UC,F,,Mixed,MF,V,Fines,,D,MF,C,B,,,,Si,PC,FC,Rock,0.64,1,,9,646036.686984351,6035713.69699858,, Medium value habitat. Likely an important migration Corredor however the stream is heavily impacted by cattle chapel thanks and degradation related to cattle ranching And windthrow. Significant amounts of cattle manure in the stream likely putting water quality well above disgusting thresholds.     Occasional pockets of gravel suitable for resident rainbow spawning. No fish observed. Boulders are the significant cover however there are just occasional pause with depth suitable for overwintering. Decent amount of hearing habitat for juveniles though. Small rock drop of 65cm is located 365m upstream of the top end of the culvert.    ,2022-08-30,15:07:54,
17,,Thompson Creek,198066_us,,,,5.2,7.3,3,,,,,,,1.9,3.8,2.8,,,,,,,0.5,0.27,0.5,,,,,,,0.5,0.42,,,,,1.5,4,2,,,,Low,,12.6,,288,,8.4,,Clear,M,S,S,T,D,S,S,N,0 - 20%,F,Clumped,,UC,F,,Shrubs,Shrub,Sloped,F,,D,MF,G,C,,,,Sinous,Decoupled ,OC,,,,,9,640367.397095085,6048463.07941421,, High value habitat. Abundant gravel is present suitable for spawning resident and anadromous species. Some deep pools present suitable for juvenile rearing and overwintering. Some evidence of large flow events likely due to Beaverdam blowouts upstream which have been reported by adjacent landowners.          ,2022-08-31,10:30:31,
18,,Tributary to Gramophone Creek,58067_ds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,93,,8.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,609723.890600537,6092868.04449409,,,2022-09-01,12:02:13,
19,,Tributary to Gramaphone Creek,58067_ds_ef1,newgraph_airvine,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,12.2,,67,,8.1,,clear,moderate,trace,none,dominant,trace,trace,trace,none,1-20%,few,evenly distributed,mosses,overhanging bank,fines,FALSE,mixed forest,mature forest,,,,,,,,,,,,,,,,,,9,609521.9303903,6092942.8552439,,Mostly Riffle Habitat with occasional boulders and a pool at the top and with a piece of larger Wid and under cup bank. Four of the fish were captured in the pool at the top End.          ,2022-09-02,10:57:00,
20,,Pinenut Creek,8302257_us,newgraph_airvine,,,20.3,8.3,11.7,15,11,12.4,,,,4.7,6.1,6,6,7,4.6,,,,0.3,0.5,0.35,0.46,,,,,,0.62,0.67,0.6,,,,2.5,3,4.5,4.5,,,moderate,,,,,,,,,trace,trace,trace,dominant,sub-dominant,trace,trace,none,1-20%,few,clumped,none,overhanging bank,fines,FALSE,mixed forest,mature forest,undercut,fines,FALSE,mixed forest,mature forest,cobbles,boulders,,20,FALSE,irregular wandering,Decoupled,frequently confined,falls,1.3,5,,9,587052.5254923,6138709.57467896,,"DJ is recorded as falls on form.  Medium value habitat for ST, DV, CCT and CO. Approximately 500m upstream of crossing. This is a high energy system with numerous areas of multiple channel and islands and elevated bars. . High flows are pushing most large woody debris out of the main channel resulting in lower complexity and most cover available as boulders. there are rare pockets of gravel suitable for spawning.. 13:44:56",2022-09-08,13:44:56,High flows are pushing most large woody debris out of the main channel resulting in lower complexity and most cover available as boulders. there are rare pockets of gravel suitable for spawning.
21,,Tributary to Kitwanga River,8301994_us,newgraph_airvine,,,3.2,2.4,2.3,2.6,2.7,2.4,3.4,,,2.8,2.4,3.5,3.1,3.4,3.4,3.1,,,0.24,0.35,0.62,0.25,0.41,0.45,,,,0.23,0.33,0.31,,,,6,5,6,6,,,moderate,,8.4,,149,,8.3,,clear,moderate,sub-dominant,sub-dominant,none,dominant,sub-dominant,sub-dominant,none,41-70%,few,evenly distributed,none,sloping,fines,FALSE,coniferous forest,mature forest,undercut,fines,FALSE,coniferous forest,young forest,gravels,cobbles,,12,FALSE,sinuous,Coupled,confined,,,,,9,550306.738961546,6140706.36527874,,"High value habitat for spawning and juvenile rearing. Abundant gravels suitable for CT, ST, CO and DV spawning. Confined stream with small and large Woody debris throughout. Large Woody debris creates small steps to 30 cm high and nice pools below. ",2022-09-09,14:52:11,
22,,Tea Creek,8300095_ds,newgraph_airvine,,,4.8,5.9,5.6,5.1,5.8,4.8,,,,2.5,3.6,3.1,3.9,3.1,3.2,,,,0.25,0.3,0.4,,,,,,,0.46,0.5,,,,,2,3,4,,,,moderate,,,,,,,,,moderate,sub-dominant,trace,dominant,sub-dominant,trace,sub-dominant,none,1-20%,few,evenly distributed,algae,sloping,large rock/bedrock,FALSE,mixed forest,mature forest,sloping,cobbles,FALSE,mixed forest,mature forest,gravels,cobbles,,14,FALSE,sinuous,Partially Coupled,frequently confined,,,,,9,563386.415318971,6109556.92901213,,Boulder habitat with rock canyon for a good portion of survey. Frequent patches of gravel and rare pools. Known steel head system. Adjacent landowner reports steelhead spawning upstream of highway in tributary.          . High value habitat . 17:43:29,2022-09-09,17:43:29,High value habitat 
23,,,,newgraph_airvine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618826.924621842,6071767.65404803,, So I want to know if this is going to wrap or if it’s going to run right through          ,2022-09-11,09:17:15,
24,,Sandstone Creek ,8530_ds_ef1,newgraph_airvine,,,3.6,3.1,3.7,2.9,4,,,,,2,2.8,2.2,2.5,2.5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,6.5,,90,,7.4,,clear,moderate,trace,sub-dominant,dominant,sub-dominant,sub-dominant,trace,none,1-20%,few,evenly distributed,none,sloping,boulders,FALSE,coniferous forest,mature forest,undercut,boulders,FALSE,coniferous forest,mature forest,boulders,boulders,,,,,,,,,,,9,582688.739000016,6073700.1224027,,Ef seconds 203.3. Glide habitat was some steep sections and older cover. One small patch of gravel          . 12:06:20,2022-09-12,12:06:20,Glide habitat was some steep sections and older cover. One small patch of gravel          
25,,Sandstone Creek ,8530_us_ef1,newgraph_airvine,,,5.4,5.3,5.6,5.1,6,,,,,2.8,2.4,1.8,2.6,2.5,,,,,,,,,,,,,,,,,,,,2.5,,,,,,moderate,,6.4,,90,,7.4,,clear,moderate,dominant,none,sub-dominant,sub-dominant,trace,sub-dominant,none,1-20%,none,,,sloping,gravels,FALSE,coniferous forest,mature forest,undercut,fines,,coniferous forest,mature forest,cobbles,gravels,,,,,,,,,,,9,582795.298262263,6073960.44626038,,"Ef 195s. One rainbow captured along with numerous cutthroat. Low-gradients shallow glide with some rifle with small woody debris, boulders and under Cutbanks throughout most of sight.          ",2022-09-13,11:39:32,
26,,Sandstone Creek ,8530_us_ef3,newgraph_airvine,,,3.8,3.5,3.7,3.4,4.3,,,,,3,3,3.2,2.9,2.1,,,,,,,,,,,,,,,,,,,,1.5,,,,,,moderate,,,,,,,,,moderate,sub-dominant,none,none,trace,dominant,sub-dominant,none,21-40%,none,,none,sloping,gravels,FALSE,shrubs,shrub,sloping,cobbles,FALSE,coniferous forest,mature forest,,,,,,,,,,,,,9,582832.107395053,6074021.41253959,,EF 283s. Slightly deeper pool glide habitat for approximately 10 m at the bottom then some showerer rifle and glide in the top end. Lots of small woody debris in the deepest areas of the pool where majority of the larger fish were captured.          ,2022-09-13,15:22:36,
27,,Tributary to Owen Creek,197379_ds_ef1,newgraph_airvine,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,,,,,,abundant,trace,none,sub-dominant,none,dominant,trace,,1-20%,,,,sloping,cobbles,,mixed forest,young forest,sloping,cobbles,,mixed forest,young forest,cobbles,boulders,,,,,,,,,,,9,640952.269151206,6005913.60235783,,45s electrofishing . Because the stream was primarily dewatered downstream of the outlet pool this site consisted of the outlet pool only. Only a portion of the fish present in the outlet pool were sampled due to time constraints.                   ,2022-09-15,12:48:19,
28,,Tributary to Owen Creek,197379_us_ef1,newgraph_airvine,,,6.8,8.4,10.3,,,,,,,1.6,2,1.4,,,,,,,,,,,,,,,,,,,,,,0,,,,,,low,,,,,,,,,abundant,trace,none,sub-dominant,trace,dominant,trace,none,1-20%,none,,none,sloping,fines,FALSE,mixed forest,young forest,undercut,cobbles,FALSE,mixed forest,young forest,,,,,,,,,,,,,9,641024.507534166,6005981.84052496,,235.5s electrofishing. Shallow pools with very large boulder on right bank flat faced area isolated pocket because the majority of the channel is the water. Two passes of the same site we’re done but fish or not separated into passes.          . Some uncertainty about whether Fish marked as cutthroat or actually rainbow. There are yellow slashes under the chin but the mouth does not reach past the eye and we haven’t seen any larger age class fish with the/us. The big fish all appear to be rainbow having a suspect that the small ones may also be remote. Unless they’re hybrids. During the fish processing process it appeared that it is very likely that all of the fish that were classified as cutthroat were actually rainbow. We didn’t find any larger fish with red slashes and as the fish got larger it appeared the yellow slight yellow slashes underneath the chins caught lighter and lighter.          . 13:04:29,2022-09-15,13:04:29,Some uncertainty about whether Fish marked as cutthroat or actually rainbow. There are yellow slashes under the chin but the mouth does not reach past the eye and we haven’t seen any larger age class fish with the/us. The big fish all appear to be rainbow having a suspect that the small ones may also be remote. Unless they’re hybrids. During the fish processing process it appeared that it is very likely that all of the fish that were classified as cutthroat were actually rainbow. We didn’t find any larger fish with red slashes and as the fish got larger it appeared the yellow slight yellow slashes underneath the chins caught lighter and lighter.          
30,,Tributary to gramophone creek,58067_ds,,,,5.4,4.6,5.6,6.3,3.6,5.3,,,,4.4,2.9,1.5,3.3,3.4,2.6,,,,0.17,0.61,0.33,0.41,0.34,,,,,0.62,0.5,0.5,,,,3,4,2,3,,,,,12.4,,93,,8.15,,,M,S,T,S,d,S,S,N,1,F,E,M,U,F,FALSE,M,MF,S,CB,,m,MF,C,B,90,24,,Ir ,Dc ,Fc,,,,,9,609730.758745296,6092868.95421717,,,2022-09-01,12:01:59,
31,,Tributary to Gramaphone,58067_ds_ef1,newgraph_bute,,,,,,,,,,,,3.1,2.9,4.1,3.2,3.1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,12.2,,67,,8.1,,clear,moderate,trace,none,dominant,trace,trace,trace,none,1-20%,few,evenly distributed,mosses,overhanging bank,fines,FALSE,mixed forest,mature forest,none,fines,FALSE,,,,,,,,,,,,,,,9,609517.533072794,6092939.57411477,,Site length 15.9,2022-09-02,11:03:07,
32,,Tributary to Gramaphone,58067_ds_ef2,newgraph_bute,,,,,,,,,,,,3.8,3.8,4,3.5,2.7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,moderate,trace,none,sub-dominant,dominant,trace,trace,none,1-20%,none,evenly distributed,mosses,sloping,cobbles,FALSE,mixed forest,mature forest,,,,,,,,,,,,,,erosion/sedimentation,,,,9,609535.800027914,6092931.59447513,,Site length 24m,2022-09-02,11:47:53,
33,,Tributary to Gramaphone ,58067_ds_ef3,newgraph_bute,,,,,,,,,,,,4.3,4.4,3.3,2.2,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moderate,dominant,sub-dominant,trace,sub-dominant,trace,trace,none,1-20%,few,evenly distributed,none,undercut,cobbles,FALSE,mixed forest,mature forest,,,,,,,,,,,,,,,,,,9,609541.626398867,6092917.47500431,,Site length 25.2,2022-09-02,12:04:20,
34,,Tributary to Gramaphone ,58067_ds_ef4,newgraph_bute,,,,,,,,,,,,2.2,2.5,5.4,3.9,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,moderate,,,,,,,,,none,not applicable,mosses,sloping,cobbles,FALSE,mixed forest,mature forest,,,,,,,,,,,,,,,,,,,609532.428630431,6092886.39382677,,Site length 32.2m,2022-09-02,12:54:41,
35,,Tributary to Gramaphone ,58067_ds_ef5,newgraph_bute,,,,,,,,,,,,2.2,2.3,2.9,3.1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,moderate,dominant,none,sub-dominant,sub-dominant,sub-dominant,trace,none,1-20%,none,,,undercut,fines,,mixed forest,mature forest,,,,,,cobbles,fines,,,,,,,,,,,9,609561.24590789,6092854.46223594,,Site length 13m. Clyde habitat with extensive small with you to breathe and some undercut on the left Bank. Difficult to fish due to all the small woody debrie.,2022-09-02,13:38:58,
36,,Tributary to a gramophone creek,53067_ds_ef6,newgraph_bute,,,,,,,,,,,,5.2,5.1,6.5,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,609597.348838969,6092858.5584291,,Length is 7.7. Stopped at gravels. Site is one large pool with a big piece of large woody debris across the channel.          ,2022-09-02,14:04:41,
37,,Tributary to Gramaphone ,58067_US_ef3,00000BULK,,,5,,,,,,,,,3.14,3.5,3.9,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,moderate,trace,trace,sub-dominant,dominant,trace,sub-dominant,none,21-40%,few,evenly distributed,none,undercut,fines,FALSE,deciduous forest,mature forest,,gravels,,mixed forest,mature forest,,,,,,,,,,,,,9,609879.726515275,6092802.91115756,,"4.9. Vegetated bar at top of sitE, providing cover for Fish functional what are you the free on left Bank plenty of fish scooted ou T of.  To rainbow trout were caught electrofishing more were sighted. Call Bulls and boulders made up the stream bed for good quality rearing habitaT. Healthy riparian.                         . 15:24:52",2022-09-02,15:24:52,"Vegetated bar at top of sitE, providing cover for Fish functional what are you the free on left Bank plenty of fish scooted ou T of.  To rainbow trout were caught electrofishing more were sighted. Call Bulls and boulders made up the stream bed for good quality rearing habitaT. Healthy riparian.                         "
38,,Trib to Gramophone,58067_US_ef4,newgraph_bute,,,2.9,,,,,,,,,,2.5,2.9,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,trace,trace,trace,dominant,none,trace,trace,none,1-20%,few,evenly distributed,none,sloping,boulders,,,,,fines,,,,,,,,,,,,,,,,9,609889.060360881,6092783.67202115,,Right bank is slopeing.) Red healthy riparian shrubs deciduous and conifers provide some shade but not much crown cloSure.     ,2022-09-02,15:49:19,
39,,,58067_us_ef5,newgraph_bute,,,,,,,,,,,,4.3,2.4,2.6,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,moderate,trace,trace,dominant,none,trace,trace,none,1-20%,few,evenly distributed,none,sloping,gravels,,mixed forest,mature forest,,cobbles,,mixed forest,mature forest,cobbles,gravels,,,,,,,,,,,9,609897.252666025,6092772.00249957,,Site length 11. 1 m. Shrubs and mixed forest riparian giving good shade from sun so 20 m from someone’s property on left bank          . Stable large body debris in stream and a long stream Banks creating complexity and great fish rearing habitat boulders are present and very functional for cover I just saw a big ass fish swim by this is great fish habit       . 16:08:56,2022-09-02,16:08:56,Stable large body debris in stream and a long stream Banks creating complexity and great fish rearing habitat boulders are present and very functional for cover I just saw a big ass fish swim by this is great fish habit       
