Species,Length,Weight,tag_row,date,tag_id
Cutthroat Trout (General),117,15.2,22,09-13-2021 15:37:36 01,3DD.003E1929E4. Row ID 22. 
Cutthroat Trout (General),110,12.3,23,09-13-2021 15:39:40 01,3DD.003E1929D2. Row ID 23. 
Cutthroat Trout (General),123,16.5,24,09-13-2021 15:42:01 01,3DD.003E1929E2. Row ID 24. 
Dolly Varden,74,4.7,25,09-13-2021 15:45:01 01,3DD.003E1929AD. Row ID 25. 
Cutthroat Trout (General),48,1.3,,,
Cutthroat Trout (General),59,2.1,,,
Dolly Varden,105,11.2,26,09-13-2021 15:50:39 01,3DD.003E1929A0. Row ID 26. 
Cutthroat Trout (General),108,10.9,27,09-13-2021 15:53:09 01,3DD.003E1929D1. Row ID 27. 
Cutthroat Trout (General),142,26.9,28,09-13-2021 15:55:31 01,3DD.003E1929CF. Row ID 28. 
Dolly Varden,59,2.4,,,
Cutthroat Trout (General),59,2.5,,,
Dolly Varden,56,1.9,,,
Cutthroat Trout (General),53,1.6,,,
Dolly Varden,55,2.1,,,
Dolly Varden,46,1.1,,,
Dolly Varden,55,1.7,,,
Cutthroat Trout (General),44,0.8,,,
Rainbow Trout,98,12.2,29,09-15-2021 10:32:27 01,3DD.003E1929C4. Row ID 29. 
Rainbow Trout,98,12.3,30,09-15-2021 10:40:26 01,3DD.003E1929C0. Row ID 30. 
Cutthroat Trout (General),65,4.2,,,
Coho Salmon,63,4.7,,,
Cutthroat Trout (General),96,9.3,31,09-15-2021 10:49:20 01,3DD.003E1929D3. Row ID 31. 
Coho Salmon,62,5.5,,,
Coho Salmon,69,6.4,32,09-15-2021 10:56:44 01,3DD.003E1929A7. Row ID 32. 
Cutthroat Trout (General),63,4,,,
Cutthroat Trout (General),73,5.1,33,09-15-2021 10:59:31 01,3DD.003E1929B4. Row ID 33. 
Cutthroat Trout (General),58,6.1,,,
Dolly Varden,73,5.4,34,09-15-2021 11:03:06 01,3DD.003E1929BA. Row ID 34. 
Cutthroat Trout (General),69,4.4,35,09-15-2021 11:05:20 01,3DD.003E1929BD. Row ID 35. 
Cutthroat Trout (General),65,3.2,,,
Cutthroat Trout (General),67,5.8,36,09-15-2021 11:10:58 01,3DD.003E19299D. Row ID 36. 
Cutthroat Trout (General),70,12.9,37,09-15-2021 11:13:46 01,3DD.003E1929D5. Row ID 37. 
Cutthroat Trout (General),64,6.2,,,
Coho Salmon,69,4.7,38,09-15-2021 11:16:10 01,3DD.003E19299F. Row ID 38. 
Rainbow Trout,123,22.3,39,09-15-2021 11:18:33 01,3DD.003E1929A8. Row ID 39. 
Rainbow Trout,94,8,40,09-15-2021 11:23:33 01,3DD.003E1929AB. Row ID 40. 
Rainbow Trout,123,13.9,41,09-15-2021 11:25:41 01,3DD.003E1929CA. Row ID 41. 
Dolly Varden,75,5.8,42,09-15-2021 11:29:11 01,3DD.003E1929CB. Row ID 42. 
Cutthroat Trout (General),73,4.5,43,09-15-2021 11:32:22 01,3DD.003E1929BB. Row ID 43. 
Rainbow Trout,102,12.6,44,09-15-2021 11:34:18 01,3DD.003E1929F1. Row ID 44. 
Rainbow Trout,108,10.7,45,09-15-2021 11:35:59 01,3DD.003E1929B2. Row ID 45. 
Cutthroat Trout (General),66,3.7,46,09-15-2021 11:39:20 01,3DD.003E1929E7. Row ID 46. 
Coho Salmon,67,7,47,09-15-2021 11:44:56 01,3DD.003E1929C3. Row ID 47. 
Dolly Varden,72,5,48,09-15-2021 11:48:09 01,3DD.003E192BCC. Row ID 48. 
Rainbow Trout,97,10.2,49,09-15-2021 12:10:06 01,3DD.003E192BC2. Row ID 49. 
Rainbow Trout,92,9.7,50,09-15-2021 12:12:48 01,3DD.003E192BE5. Row ID 50. 
Coho Salmon,58,4.3,,,
Cutthroat Trout (General),66,3.9,51,09-15-2021 13:22:08 01,3DD.003E192BE3. Row ID 51. 
Cutthroat Trout (General),60,3.5,,,
Cutthroat Trout (General),69,5.7,52,09-15-2021 13:27:55 01,3DD.003E192BE0. Row ID 52. 
Cutthroat Trout (General),67,5.9,53,09-15-2021 13:31:11 01,3DD.003E192BD2. Row ID 53. 
Rainbow Trout,64,2.8,,,
Rainbow Trout,65,3.5,,,
Rainbow Trout,107,15.3,54,09-15-2021 13:39:32 01,3DD.003E192BEA. Row ID 54. 
Rainbow Trout,64,5.1,,,
Rainbow Trout,68,5.1,55,09-15-2021 13:42:35 01,3DD.003E192BF4. Row ID 55. 
Rainbow Trout,84,8.6,56,09-15-2021 13:47:36 01,3DD.003E192BF3. Row ID 56. 
Cutthroat Trout (General),59,4.9,,,
Rainbow Trout,101,12.8,57,09-15-2021 13:51:25 01,3DD.003E192BDD. Row ID 57. 
Cutthroat Trout (General),74,5.3,58,09-15-2021 13:53:42 01,3DD.003E192BCE. Row ID 58. 
Cutthroat Trout (General),66,4.7,,,
Cutthroat Trout (General),66,5.6,,,
Rainbow Trout,147,36.7,59,09-15-2021 13:59:20 01,3DD.003E192BD6. Row ID 59. 
Cutthroat Trout (General),81,6.9,60,09-15-2021 14:05:21 01,3DD.003E192BD7. Row ID 60. 
Rainbow Trout,148,29.5,61,09-15-2021 14:06:36 01,3DD.003E192BC8. Row ID 61. 
Rainbow Trout,118,15.9,62,09-15-2021 14:08:06 01,3DD.003E192BEE. Row ID 62. 
Rainbow Trout,109,13.9,63,09-15-2021 14:09:02 01,3DD.003E192BEC. Row ID 63. 
Rainbow Trout,135,26.8,64,09-15-2021 14:10:29 01,3DD.003E192BEB. Row ID 64. 
Rainbow Trout,97,11,65,09-15-2021 14:11:43 01,3DD.003E192BDA. Row ID 65. 
Rainbow Trout,93,9.7,66,09-15-2021 14:13:03 01,3DD.003E192BC9. Row ID 66. 
Rainbow Trout,99,9.4,67,09-15-2021 14:14:31 01,3DD.003E192BCB. Row ID 67. 
Cutthroat Trout (General),109,13.6,68,09-15-2021 14:16:31 01,3DD.003E192BE4. Row ID 68. 
Cutthroat Trout (General),106,13,69,09-15-2021 14:17:36 01,3DD.003E192BED. Row ID 69. 
Rainbow Trout,107,13.4,70,09-15-2021 14:19:01 01,3DD.003E192BB2. Row ID 70. 
Rainbow Trout,108,15.7,71,09-15-2021 14:20:41 01,3DD.003E192BD4. Row ID 71. 
Rainbow Trout,69,4,72,09-15-2021 14:21:59 01,3DD.003E192BAF. Row ID 72. 
Cutthroat Trout (General),72,4.3,73,09-15-2021 14:23:48 01,3DD.003E192BBA. Row ID 73. 
Cutthroat Trout (General),65,3.4,,,
Rainbow Trout,139,29.6,74,09-15-2021 14:25:19 01,3DD.003E192BE2. Row ID 74. 
Rainbow Trout,96,10.7,75,09-15-2021 14:26:59 01,3DD.003E192BB5. Row ID 75. 
Cutthroat Trout (General),70,5.3,76,09-15-2021 14:28:35 01,3DD.003E192BC3. Row ID 76. 
Rainbow Trout,93,8.8,77,09-15-2021 14:29:49 01,3DD.003E192BCF. Row ID 77. 
