schema_table,description
whse_basemapping.gba_transmission_lines_sp,"High voltage electrical transmission lines for distributing power throughout the province. Lines were derived from several data sources representing unique inventories: BC Hydro Private Independent Power Producers and Terrain Resource Information Management (TRIM)."
whse_basemapping.bc_transport_lines_500m,null
whse_basemapping.bc_transport_points_500m,null
whse_basemapping.bc_water_lines_500m,null
whse_basemapping.bc_water_points_500m,null
whse_basemapping.bc_water_polys_5km,null
whse_wildlife_management.wld_wild_mtn_sheep_distrib_sp,"The public view of the BC Wild Mountain Sheep Registry indicates the general and broader distribution of bighorn and thinhorn (mountain) sheep distribution in British Columbia beyond their core home ranges."
whse_land_and_natural_resource.prot_weather_stations_sp,null
whse_land_and_natural_resource.prot_restricted_areas_sp,"Wildfire restricted areas are created to help protect public safety and allow fire suppression efforts to continue efficiently.  This is outlined in the Restricted Areas section of the Wildfire Act."
whse_land_and_natural_resource.prot_fuel_treatments_sp,"Compilation of operational fuel management data provided to BC Wildfire but managed through the the Community Resiliency Investment (CRI) program. For more information (including net treatment info or documents) contact the Fire Centre Local Government or First Nations Band. Source data current to May 25 2020; will include all approved projects from 2013 to this date. Polygons in this data may overlap."
whse_land_and_natural_resource.prot_danger_rating_sp,"Fire Danger Rating indicates how easily fires can start and spread in an area. The ratings are derived from weather stations and is only relevant for the geographic location of the weather station."
whse_legal_admin_boundaries.drp_mof_fire_centres_sp,null
whse_land_and_natural_resource.prot_fuel_type_sp,"This polygon layer classifies the entire province into fuel types from the Canadian Fire Behaviour Prediction System for the purpose of modeling wildfire behaviour. The source data is primarily from BC Vegetation Resource Inventory (VRI) polyons using an algorithm based on vegetation attributes (species tree height density biogeoclimatic zone etc.). Where VRI data was unavailable (private lands some Tree Farm Licenses etc.) data from the Canadian Forest Service national fuel grid was used. This layer is updated semi-annually."
whse_legal_admin_boundaries.drp_mof_fire_zones_sp,null
whse_land_and_natural_resource.prot_psta_fire_strt_density_sp,"Provincial Strategic Threat Analysis (PSTA) fire density is a modeled probability approximately representing the number of nearby fires (4 ha and greater treating 500+ ha fires as 5 individual events) since 1950."
whse_land_and_natural_resource.prot_psta_fire_threat_rtg_sp,"Provincial Strategic Threat Analysis (PSTA) Fire Threat rating represents a subjective best estimate of relative fire threats taking into account fire occurrence history predicted fire intensity under extreme conditions and spotting impact."
whse_land_and_natural_resource.prot_psta_head_fire_intnsty_sp,"Provincial Strategic Threat Analysis (PSTA) head fire intensity (HFI) represents the final classification scheme (90th percentile weather). The layer was chosen to represent accepted fire intensity thresholds (in kW/m) associated with suppression difficulty along with some additional classes added to further discriminate between intensity levels at the high end (i.e. crown fires)."
whse_land_and_natural_resource.prot_psta_hmn_fire_st_dnsty_sp,"Provincial Strategic Threat Analysis (PSTA) human fire density is a modeled probability approximately representing the number of nearby human caused fires (4 ha and greater treating 500+ ha fires as 5 individual events) since 1950."
whse_land_and_natural_resource.prot_psta_ltg_fire_st_dnsty_sp,"Provincial Strategic Threat Analysis (PSTA) lightning fire density is a modeled probability approximately representing the number of nearby lightning caused fires (4 ha and greater treating 500+ ha fires as 5 individual events) since 1950."
whse_land_and_natural_resource.prot_psta_spotting_impact_sp,"Provincial Strategic Threat Analysis (PSTA) Public Spotting Impact values represent the estimated threat associated with 12 relevant fuel type-distance classes. The relative threat associated with each fuel type-distance class was ranked (Spotting Rank) based on expert opinions on the most frequent spotting concerns observed during wildfires."
whse_land_and_natural_resource.prot_wui_hmn_intrfce_buffr_sp,"The Human Interface Buffer dataset denotes the Wildland Urban Interface (WUI).  Structure point data is buffered to 1436 m the area within that buffer is the interface between the forest and commercial and residential structures."
whse_land_and_natural_resource.prot_wui_eligible_buffer_sp,"The Eligible Buffer dataset denotes the eligible area of the Wildland Urban Interface (WUI) for the purpose of the FireSmart Community Funding and Supports program (FCFS) that qualifies for the criteria for funding activities. It is defined as a maximum of one kilometer from the structure density class greater than 6. This layer is anticipated to be recreated on an annual basis."
whse_land_and_natural_resource.prot_wui_risk_class_sp,"The Wildland Urban Interface (WUI) Risk Class is a feature class of 546 community polygons with unique names each of which is given a risk rating between 1 and 5."
whse_mineral_tenure.og_assoc_ancillary_appl_sp,"This dataset contains spatial data for proposed applications for National Energy Board (NEB) related ancillary features and Oil and Gas Activities Act (OGAA) associated oil and gas activities collected through BCER's Application Management System (AMS).  Associated oil and gas activities are related activities which require the use of Crown land and require an authorization under either the Land Act or the Petroleum and Natural Gas Act. The dataset includes polygon features such as campsites workspaces deck sites staging areas and other temporary disturbances."
whse_mineral_tenure.og_assoc_ancillary_permit_sp,"This dataset contains spatial data for approved and post construction features for National Energy Board (NEB) related ancillary features and Oil and Gas Activities Act (OGAA) associated oil and gas activities collected on or after October 30 2006.  Associated oil and gas activities are related activities which require the use of Crown land and require an authorization under either the Land Act or the Petroleum and Natural Gas Act. The dataset includes polygon features such as campsites workspaces deck sites staging areas and other temporary disturbances."
whse_mineral_tenure.og_stream_impact_appl_sp,"Point locations indicating proposed applications for changes in and around a stream.  Common changes in and about a stream activities include BCER maintenance and removal of watercourse crossings and crossing structures. Other types of works that comprise changes in and about a stream include stream diversion stream bank erosion protection and/or stabilization debris removal beaver dam management etc.  This dataset contains spatial data for proposed applications collected through BCER's Application Management System (AMS)."
whse_mineral_tenure.og_stream_impact_permit_sp,"Point locations for approved activities for changes in and around a stream.  Common changes in and about a stream activities include the construction maintenance and removal of watercourse crossings and crossing structures. Other types of works that comprise changes in and about a stream include stream diversion stream bank erosion protection and/or stabilization debris removal beaver dam management etc.  This dataset contains spatial data collected on or after October 30 2006."
whse_mineral_tenure.og_constr_corridor_appl_sp,"Applications for spatial areas occurring on Crown land in which oil and gas activities will take place.  Construction corridors allow for flexibility in the movement placement and construction of oil and gas activity."
whse_mineral_tenure.og_engineering_projects_pub_sp,"ENGINEERING PROJECTS PUB SP is a polygon layer representing approved engineering projects. BCER Engineering Project approvals may be issued upon application under the authority of Section 100 of the Drilling and Production Regulation or Section 97 of the Petroleum and Natural Gas Act depending on project type.  Projects grant the applicant operating latitude under specific conditions for the purpose of extracting oil and/or natural gas in the most efficient way that will result in maximization of resource recovery and benefit to the Crown balanced with surface impact and socio-economic factors.  Examples are \"Good Engineering Practice\" allowing increased well density in a poor quality reservoir or \"Pressure Maintenance Water Flood\" to allow injection of water into an oil pool to increase total oil recovery.   This is not a multipart feature class."
whse_mineral_tenure.og_facility_locatns_permit_sp,"Facilities are an oil and gas activity defined in the Oil and Gas Activities Act as a system of vessels piping valves tanks and other equipment used to gather process measure store or dispose of petroleum natural gas water or a substance referred to in paragraph (d) or (e) of the definition of pipeline.  This dataset contains point features collected on or after July 11 2016 for approved facility locations."
whse_mineral_tenure.og_geophscl_anclry_locn_pub_sp,"Geophysical programs study the physical characteristics and properties of subsurface formations relating to oil and gas deposits derived artificially by explosives or other means to map subsurface structure.  Spatial data is collected through BCER's electronic Petroleum Application Submission System (ePASS).  ePass submissions for geophysical applications became mandatory October 30 2006 and so this dataset contains spatial data for applications submitted on or after this date.  All ancillary features for final plan geophysical applications with a status of approved are included."
whse_mineral_tenure.og_geophysical_1996_2004_sp,"GEOPHYSICAL 1996 2004 SP is a line layer representing geophysical final plans for the years 1996-2004.  Geophysical programs study the physical characteristics and properties of subsurface formations relating to oil and gas deposits derived artificially by explosives or other means to map subsurface structure.  Final plan spatial data is included for applications received between 1996 and 2004.  Final plans identify the locations cleared at the conclusion of all operations. This is not multipart feature class."
whse_mineral_tenure.og_geophysical_2002_2006_sp,"GEOPHYSICAL 2002 2006 SP  is a line layer representing geophysical final plans for the years 2002-2006.Geophysical programs study the physical characteristics and properties of subsurface formations relating to oil and gas deposits derived artificially by explosives or other means to map subsurface structure.  Final plan spatial data is included for applications received between 2002 and 2006.  Final plans identify the locations cleared at the conclusion of all operations. This is not multipart feature class."
whse_mineral_tenure.og_geo_misfired_charges_sp,null
whse_mineral_tenure.og_geophysical_appl_sp,"Geophysical exploration is an oil and gas activity under the Oil and Gas Activities Act (OGAA) and is specifically defined in the Petroleum and Natural Gas Act (PNG) Act as investigation of the subsurface by seismic gravimetric magnetic electric and geochemical operations and by any other method approved by BCER but does not include the use of geophysical well logs vertical seismic profile surveys or other surveys obtained from a well.  This dataset contains line features for proposed applications collected through BCER's Application Management System (AMS)."
whse_mineral_tenure.og_geophysical_permit_sp,"Geophysical exploration is an oil and gas activity under the Oil and Gas Activities Act (OGAA) and is specifically defined in the Petroleum and Natural Gas Act (PNG) Act as investigation of the subsurface by seismic gravimetric magnetic electric and geochemical operations and by any other method approved by BCER but does not include the use of geophysical well logs vertical seismic profile surveys or other surveys obtained from a well.  This dataset contains line features for approved and final plan geophysical activity collected on or after October 30 2006."
whse_mineral_tenure.og_moti_areas_appl_sp,"The area of Crown land disturbance for applications falling within a Ministry of Transportation and Infrastructure (MOTI) road allowance.  BCER issues cutting permits for any new Crown land disturbance within Ministry of Transportation and Infrastructure (MOTI) unconstructed road allowances.  BCER does not issue land tenure over MOTI right of ways.  This dataset contains polygon features for proposed applications collected through BCER's Application Management System (AMS)."
whse_mineral_tenure.og_administrative_zones_sp,"ADMINISTRATIVE ZONES SP is a polygon layer. The Oil and Gas Commission has broken application and inspection areas into a regional model structure encompassing four areas of the Province.  These geographic zones are used to accommodate application processing for oil and gas activities.  This is a multipart  feature class."
whse_mineral_tenure.og_oil_and_gas_fields_sp,"OIL AND GAS FIELDS SP is a polygon layer representing a pool or group of pools within a specified geographic area that contain oil or natural gas.  Fields are not specific to producing geological formation(s).  Fields are used for well naming purposes relative to the well site surface coordinates and the objective formation of the well.  For directional wells targeting an existing pool the field name should reflect the field in which the pool is located. This is not a multipart feature class."
whse_mineral_tenure.og_management_areas_sp,"MANAGEMENT AREAS SP is a polygon layer that depicts the general spatial extent of management areas with similar surface land use issues. These management areas will be used for research projects coordinated efforts and oil and gas area specific regulations. This is not a multipart feature class."
whse_mineral_tenure.og_regional_fields_sp,"REGIONAL FIELDS SP is a polygon layer representing geographic outline of large unconventional natural gas accumulations that are specific to a geological formation. Regional fields cover an expansive area which is too large to provide a meaningful geographic reference and consequently are not to be used for well naming purposes. This is not a multipart feature class."
whse_mineral_tenure.og_well_naming_index_sp,"WELL NAMING INDEX SP is a polygon layer representing index of geographic names and associated areas which provide geographic references in the naming of wells where few pre-existing oil and gas fields have been designated.  The areas in the well naming index are to be used for well naming only if the well is outside of any existing field boundary. This is not a multipart feature class."
whse_mineral_tenure.og_petrlm_dev_rds_pre06_pub_sp,"PETRLM DEV RDS PRE06 PUB SP is a line layer representing spatial data for Petroleum Development Road Regulation (PDR) applications received before October 30 2006 with a status of Approved In Progress or Interim Approval.  Petroleum Development Road (PDR) applications can apply to proposed construction or to existing non status tenured roads over any Crown Land without disposition preventing road construction and/or use of non-status unencumbered existing access roads on Crown Land. These applications are approved under the Petroleum Natural Gas Act Section 8 and subject to the Petroleum Development Road Regulation. Only sections of the proposed PDR located on Crown Land will be issued status under the Petroleum and Natural Gas Act Section 8.  PDR status does not apply to sections of road located on private lands or Indian Reserve lands.   This is not a multipart feature class."
whse_mineral_tenure.og_pipeline_instln_permit_sp,"Pipeline installations associated with an oil and gas pipeline activity.  Installations include such features as flare stacks generators line heaters pumps risers tanks and valves.  This dataset contains point features collected on or after July 11 2016 for approved installation locations."
whse_mineral_tenure.og_pipeline_area_appl_sp,"Applications for land authorizations representing the right of way for pipeline activities.  This dataset contains polygon features for proposed applications collected through BCER's Application Management System (AMS)."
whse_mineral_tenure.og_pipeline_area_permit_sp,"Land authorizations representing the right of way for pipeline activities. The spatial data includes polygon data for approved and post-construction pipeline rights of way collected on or after October 30 2006."
whse_mineral_tenure.og_pipeline_segment_permit_sp,"Pipeline centre-lines associated with oil and gas pipeline activity and falling within the area representing the pipeline right of way.  This dataset contains line features collected on or after July 11 2016 for approved pipeline centre-line locations."
whse_mineral_tenure.og_pool_breaklines_pub_sp,"A breakline is a type of structural fault pool contact provincial/territorial boundary or other pool feature that influences the shape of the net pay contours. It may also be a corresponding gas cap or oil leg outline. Examples of breakline types include \"Semi-Permeability Barrier\" \"British Columbia/Alberta Border\" and \"Strike Slip Fault\". Not all pools have breaklines."
whse_mineral_tenure.og_pool_contours_pub_sp,"Oil and gas pool contours indicate the net pay thickness of the pool within a geologic formation in meters. Contours are created by BCER geologists who build the contours using subsurface data such as geophysical logs and core analysis. Net pay contours can be used to calculate volumetric estimates of the reserve."
whse_mineral_tenure.og_pool_desgntn_area_pub_sp,"Pool Designation Areas (PDAs) are used to designate the spatial extent within which a geological pool is developed.  The size and shape of a PDA is based on the size and shape of the underlying pool and the boundaries of pool gas spacing units (gsu's) and/or oil spacing units (osu's) as represented by Petroleum and Natural Gas (PNG) units. The boundaries of each PDA should align with the units of the PNG grid and may overlap for different pools."
whse_mineral_tenure.og_facility_locatns_pre2016_sp,"Any grouping of equipment where water and hydrocarbon liquids are processed measured upgraded (i.e. remove impurities or other constituents to meet contact specifications) or stored prior to the point of custody transfer; or where natural gas is processed measured upgraded or stored prior to entering the natural gas transmission and storage source category. Facility point locations are located in the middle of the quarter unit or quarter section as determined from the National Topographic System (NTS) or Dominion Land Survey (DLS) legal locations.  Contains spatial data collected prior to the implementation of BCER's Application Management System (AMS) on July 11 2016."
whse_mineral_tenure.og_waste_disp_sites_pre2016_sp,"Polygons indicating drilling waste disposal sites as generated from upstream oil and gas operations. Drilling waste disposal areas include portions of the wellsite or remote sump where drilling wastes have been buried spread on land or mixed into soil. This dataset contains spatial data collected through BCER's electronic Petroleum Application Submission System (ePASS) between October 30 2006 and July 11 2016."
whse_mineral_tenure.og_road_area_appl_sp,"Applications for land authorizations representing the road right of way for road activities.  This dataset contains polygon features for proposed applications collected through BCER's Application Management System (AMS)."
whse_mineral_tenure.og_road_area_permit_sp,"Land authorizations representing the road right of way for road activities. The spatial data includes polygon data for approved and post-construction road rights of way collected on or after October 30 2006."
whse_mineral_tenure.og_road_segment_permit_sp,"Road centre-lines associated with oil and gas road activity and falling within the area representing the road right of way.  This dataset contains line features for approved road centre-line locations collected on or after October 30 2006."
whse_mineral_tenure.og_water_source_appl_sp,"Point locations indicating proposed applications for short term water use for oil and gas development.  This dataset contains spatial data for proposed applications collected through BCER's Application Management System (AMS)."
whse_mineral_tenure.og_water_source_permit_sp,"Point locations indicating approved activities for short-term water use for oil and gas development.  Approved short-term water use approvals receive an authorization under Section 10 of the Water Sustainability Act. This dataset contains spatial data collected on or after October 30 2006."
whse_mineral_tenure.og_sump_locations_sp,"Locations of sump sites used for drilling waste disposal.  All Operators in British Columbia are required to handle and dispose of drilling waste in accordance with the requirements of the Oil and Gas Waste Regulation and the Oil and Gas Handbook.  The Waste Disposal application requires that each company maintain an inventory of sump/pit data. A pit is an earthen excavation for purposes of containing drilling waste. A sump is a grouping of one or more pits found at a geographic location."
whse_mineral_tenure.og_unconventnl_play_trends_sp,"UNCONVENTNL PLAY TRENDS SP is a polygon layer that depicts the general location and extent of unconventional hydrocarbon resources.  Play trends will change over time as knowledge of the resource increases.  Current examples of unconventional play trends include the Montney Liard and Horn River Basin plays. This is not a multipart feature class."
whse_mineral_tenure.og_water_management_basins_sp,"Water management basins define locations of water withdrawal when applying for a basin Section 8 application.  If it is not possible for a company to pre-define all locations of water withdrawal companies are then able to apply for a basin Section 8 approval.  A basin Section 8 approval allows for withdrawals of up to 45 m3/day to a maximum of 5000 m3/year specified to a drainage basin or basins. Basin Section 8 approvals are limited to small water uses where it is not possible to predefine withdrawal points including geophysical exploration winter ice road construction dust suppression hydrostatic testing of pipelines and other uses provided the volume use restrictions can be met. This is not a multi part feature class. This dataset is available to PUBLIC."
whse_mineral_tenure.og_bottom_hole_event_sp,"BOTTOM HOLE EVENT SP provides non-confidential information about the sub-surface bottom hole location of a well.  It  provides drilling information and the location for each bottom hole."
whse_mineral_tenure.og_bottom_hole_status_sp,"BOTTOM HOLE STATUS SP provides non-confidential information about the sub-surface bottom hole location of a well.  It  provides information on the current status of the bottom hole."
whse_mineral_tenure.og_directional_survey_line,"DIRECTIONAL SURVEY LINE represents a line connecting the surface hole location and the bottom hole location of an oil or gas well.  The line does not represent the actual well bore but instead shows the shortest distance between the two points."
whse_mineral_tenure.og_surface_hole_event_sp,"SURFACE HOLE EVENT SP  provides non-confidential information about the surface location of a well.  It provides general well information and location information for the surface hole."
whse_mineral_tenure.og_surface_hole_status_sp,"SURFACE HOLE STATUS SP  provides non-confidential information about the surface location of a well.  It provides information on the current status of the surface hole ."
whse_mineral_tenure.og_well_facility_appl_sp,"Applications for land authorization on which well or facility activities can occur.  This dataset contains polygon features for proposed applications collected through BCER's Application Management System (AMS)."
whse_mineral_tenure.og_well_facility_permit_sp,"Land authorizations for areas on which well or facility activities can occur.  This dataset contains spatial data collected on or after October 30 2006.  The spatial data includes approved and post-construction land areas associated with well or facility activities."
whse_basemapping.bcgs_10k_grid,null
whse_basemapping.dbm_bcgs_25c_grid_nd27_area_sp,"British Columbia Geographic Series 1:2500 Mapsheet Grids. These mapsheet rectangles labelled with mapsheet name datum shifted to NAD 27 datum locations.  The original coverage is in BC Albers NAD 83 so must not be datum shifted again when loaded to LRDW. However the lines in it represent the locations on the ground of the mapsheet boundaries originally created in NAD27.   This is not a multipart feature class."
whse_basemapping.bcgs_2500_grid,"British Columbia Geographic Series 1:2 500 Mapsheet Grids. Each mapsheet is a fourth of a 1:5000 mapsheet numbered 1 through 4. The neatlines were defined and created in geographics and reprojected to BC Albers. Each of the mapsheets is .75 minutes (45 seconds) latitude by 1.5 minutes (90 seconds) longitude."
whse_basemapping.bcgs_20k_grid,null
whse_basemapping.bcgs_5k_grid,"British Columbia Geographic Series 1:5 000 Mapsheet Grids. Each mapsheet is a fourth of a 1:10000 mapsheet numbered 1 through 4. The neatlines were defined and created in geographics and reprojected to BC Albers. Each of the mapsheets is 1.5 minutes (90 seconds) latitude by 3 minutes (180 seconds) longitude."
whse_basemapping.dbm_mof_50k_grid,null
whse_forest_tenure.bcts_blocks_cprp_sp,"BC Timber Sales Multi Year Development Plan (MYDP) Blocks"
whse_forest_tenure.bcts_operating_areas_sp,"BC Timber Sales Operating Areas are management areas for timber harvesting by BCTS. Data from operations are used to help determine the market value of the timber harvested from public lands."
whse_forest_tenure.bcts_planned_roads_sp,"BC Timber Sales Planned Roads within Blocks"
whse_forest_vegetation.bec_biogeoclimatic_poly,null
whse_forest_vegetation.bec_biogeoclimatic_20k_spg,null
whse_forest_vegetation.bec_biogeoclimatic_250k_spg,
whse_forest_vegetation.bec_biogeoclimatic_label_point,null
whse_forest_vegetation.bec_biogeoclimatic_zone_2m_spg,null
whse_waste.csr_bkgd_grndwtr_smpl_sites_sp,"This layer contains the geographic location of sampling sites and the estimated concentrations of the measured background groundwater parameters.  This is a point dataset."
whse_waste.csr_bkgd_grndwtr_conc_areas_sp,"This layer contains the geographic boundary for each of the defined regions where the background groundwater concentrations are applicable. This is a polygon dataset."
whse_wildlife_management.crims_bald_eagles,null
whse_basemapping.btm_present_land_use_v1_svw,null
